text,claim_EN,label,vaccine_type,is_covid,source,url
вакцин хийлгээгүй хүмүүс COVID-19-ийн улмаас нас барах тохиолдол нь бүүстер тун хийлгэсэн хүмүүсийнхээс 10 дахин их байсныг тус улсын Халдварт өвчин судлалын төв мэдээлжээ., unvaccinated people were about 10 times more likely to die from COVID-19 than those who had received a booster.,0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6214
"ХПВ-ийн эсрэг вакцин нь хүний папиллома вирусээр үүсгэгддэг толгой хүзүү, ам залгиур, үтрээ, умайн хүзүү, шодой, хошного зэрэг олон хортой болон хоргүй хавдраас сэргийлдэг.","The HPV vaccine prevents many malignant and benign tumours caused by human papillomavirus, including head and neck, oropharyngeal, vaginal, cervical, penile and anal cancers.",0,HPV,0,NCCD (ХӨСҮТ),https://www.nccd.gov.mn/v/237ea7ga
Эмнэлзүйн хувьд эмзэг бүлгийн хүүхдүүдийг COVID-19-ийн вакцинжуулалтад хамруулахыг чухалчилсан тул вакцин хийлгээгүй хүүхдүүдийн нас баралтын түвшин илүү өндөр байна гэдгийг Английн ҮСХ-ны хэвлэлийн төлөөлөгч тайлбарлажээ. ,"An England public health spokesperson explained that because it was prioritised to vaccinate clinically vulnerable children against COVID-19, the mortality rate among unvaccinated children is higher.",0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6088
Хүүхдүүд коронагаас биш вакцинаас болж үхэх нь 50 дахин их,Children are 50 times more likely to die from the vaccine than from corona.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/4692
"Гардасил вакцины найрлагад орсон хөхөнцөр вирус нь тархины судасны хоригийг нэвтэрдэг бөгөөд өөрийнх нь төрөлх дархлаа буруу ажиллаж, тархины эд, тархины судасны ханыг гэмтээдэг бөгөөд саажилт үүсгэдэг, амь насанд аюул учруулдаг болохыг олон улсын судалгааны баримтууд байна. Эм тариа бол тархины хоригийг нэвтэрдэггүй. Тархины хориг гэдэг нь тухайн бие эрхтэнд орж ирсэн гаднын биетүүдийг дархлааны эсүүдээрээ дамжуулан хянаж байдаг.","The papillomavirus in the Gardasil vaccine crosses the blood-brain barrier, and one's own innate immunity malfunctions, damaging brain tissue and the walls of brain vessels, causing paralysis and endangering life — there is international research proof. Medicine does not cross the blood-brain barrier.",1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8878
"Вакцины найрлагад абортны хүүхдийн материал ашигласан байгаа. Яагаад гэвэл тухайн эсийг таниулахын тулд. Тэгэхээр хүний папилломавирусийн эсрэг гэхээр, Папиллома вирусийг абортноос авдаг байхгүй юу. Тэрийг нь вакцины найрлага дээр Л-1 уураг гээд бичсэн байдаг","The vaccine contains material from aborted babies. This is to identify the cell. So for the anti-HPV one, the papillomavirus is taken from an abortion. It is written as L-1 protein in the vaccine composition",1,HPV,0,FactCheck.mn,
Улаан бурхны вакцин хийлгэсэн хүн өөрөө өвдөхгүй ч бусдад халдвар тараадаг,A person who has had the measles vaccine does not get sick themselves but spreads the infection to others.,1,measles,0,MFCC,https://mfcc.mn/factcheck-1469/
"«Турбо хавдар» гэх батлагдсан нэр томьёо байдаггүй, энэ нь вакцин эсэргүүцэгчдийн зохиосон нэршил бөгөөд ковидын вакцин эсийн ДНХ-тэй нэгддэггүй тул хавдар үүсгэх боломжгүй.","There is no established term 'turbo cancer'; it is a name invented by anti-vaxxers, and since the COVID vaccine does not integrate with cell DNA it cannot cause cancer",0,COVID,1,MFCC,https://mfcc.mn/factcheck-1555/
"Ковидын эсрэг вакцин идэвхтэй, жинхэнэ вирус ашигладаггүй бөгөөд mRNA нь эсийн цөмд ордоггүй; UNICEF хөхүүл хүүхдэд учруулах эрсдэл бага гэдгийг хүлээн зөвшөөрсөн.","The COVID vaccine does not use active, live virus and mRNA does not enter the cell nucleus; UNICEF acknowledges the risk to breastfeeding infants is low",0,COVID,1,MFCC,https://mfcc.mn/factcheck-59/
"Гардасил вакцин нь амьд болон идэвхжүүлсэн вирус агуулдаггүй тул вакцинаас үүдэж халдвар авах, эсвэл өвчлөх үндэслэлгүй.","The Gardasil vaccine contains no live or inactivated virus, so it cannot cause infection or illness.",0,HPV,0,FactCheck.mn,https://factcheck.mn/post/8878
"Гардасил вакцин нь саажилт, эсвэл Гийена Барре хам шинж буюу булчин сулрах зэрэг өвчнийг үүсгэдэг гэсэн нотолгоо олоогүй.",No evidence has been found that the Gardasil vaccine causes paralysis or Guillain-Barré syndrome.,0,HPV,0,FactCheck.mn,https://factcheck.mn/post/8751
Гардасил вакцинд хүний ​​гаралтай эсийг ашигладаггүй.,The Gardasil vaccine does not use human-derived cells.,0,HPV,0,FactCheck.mn,https://factcheck.mn/post/8756
